PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, ANT14
4-character ID, BRIP
Station name, Brimstone_Peak  
Begin Date, 2007-12-14
End Date, 2018-02-06
Release Date, 2021-02-16
Source file, BRIP.cwu.ant14.pos
Offset from source file, 0.69 mm North, -0.28 mm East, 7.46 mm Vertical
Reference position, -75.7956695856 North Latitude, 158.4691447392 East Longitude, 2110.89066 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-12-14,0.00, 0.00, 0.00, 2.33, 1.9, 12.05, fanet,
2007-12-15,-0.46, -0.60, -4.14, 1.98, 1.53, 10.14, fanet,
2007-12-16,-0.16, 0.59, 0.13, 2.16, 1.64, 11.08, fanet,
2007-12-17,1.54, -1.22, -6.32, 2.27, 1.76, 11.11, fanet,
2007-12-18,0.66, 0.45, -4.53, 2.56, 2.07, 13.03, fanet,
2007-12-19,2.51, -0.09, 3.74, 2.2, 1.72, 11.02, fanet,
2007-12-20,1.45, 0.36, 2.65, 2.25, 1.88, 11.3, fanet,
2007-12-21,1.70, -1.27, 4.27, 2.18, 1.69, 10.87, fanet,
2007-12-22,0.94, 0.14, 4.94, 2.17, 1.77, 11.02, fanet,
2007-12-23,3.71, 1.22, 9.91, 2.11, 1.71, 10.74, fanet,
2007-12-24,-0.21, 0.38, 9.88, 1.97, 1.52, 10.23, fanet,
2007-12-25,-0.42, -0.27, 3.58, 2.08, 1.62, 10.88, fanet,
2007-12-26,0.36, -0.04, 0.12, 2.08, 1.6, 10.68, fanet,
2007-12-27,1.82, -0.09, -2.88, 2.1, 1.59, 10.82, fanet,
2007-12-28,3.17, -0.04, -6.04, 4.09, 3, 21.17, fanet,
2007-12-29,2.79, 0.22, -0.55, 2.08, 1.58, 10.87, fanet,
2007-12-30,0.57, -2.07, 0.73, 2.01, 1.57, 10.49, fanet,
2007-12-31,1.72, 0.00, 5.99, 2.08, 1.64, 10.43, fanet,
2008-01-01,0.23, -1.43, -5.11, 2.01, 1.51, 10.65, fanet,
2008-01-02,1.32, 0.20, 3.61, 1.95, 1.52, 10.05, fanet,
2008-01-03,1.18, -0.93, 6.83, 1.94, 1.5, 9.75, fanet,
2008-01-04,1.69, -0.07, 6.77, 1.88, 1.48, 9.57, fanet,
2008-01-05,-0.09, -0.41, -3.25, 2.68, 2.13, 13.27, fanet,
2008-01-06,1.22, 0.41, 1.89, 2.5, 1.93, 11.99, fanet,
2008-01-07,-0.03, -0.14, 0.58, 2.39, 1.91, 11.93, fanet,
2008-01-08,-0.76, -0.86, 10.50, 2.37, 1.89, 11.77, fanet,
2008-01-09,1.66, -1.17, 2.27, 2.1, 1.69, 11.11, fanet,
2008-01-10,0.12, -2.18, -1.75, 2.1, 1.59, 10.8, fanet,
2008-01-11,0.84, -1.13, 6.30, 2, 1.57, 10.01, fanet,
2008-01-12,1.05, -0.46, -1.66, 2.01, 1.61, 9.93, fanet,
2008-01-13,4.19, -0.17, 5.18, 2.1, 1.63, 10.82, fanet,
2008-01-14,5.85, -0.81, 6.55, 2.28, 1.75, 11.56, fanet,
2008-01-15,1.28, 0.13, 7.00, 2.16, 1.69, 10.99, fanet,
2008-01-16,0.28, -0.07, 1.12, 2.24, 1.77, 11.1, fanet,
2008-01-17,0.99, -0.35, -5.45, 2.23, 1.76, 11.47, fanet,
2008-01-18,2.35, -0.35, -2.14, 2.1, 1.64, 10.62, fanet,
2008-01-19,-0.61, -0.21, 0.03, 2.16, 1.81, 11.11, fanet,
2008-01-20,-0.55, 0.41, 5.13, 2.09, 1.62, 10.67, fanet,
2008-01-21,1.47, 0.73, -5.47, 2.03, 1.63, 10.61, fanet,
2008-01-22,0.49, 0.51, 0.54, 2.02, 1.56, 10.34, fanet,
2008-01-23,0.41, 0.07, 2.55, 2.1, 1.6, 10.72, fanet,
2008-01-24,1.09, 0.37, 4.76, 2, 1.52, 10.12, fanet,
2008-01-25,1.49, 0.27, 6.50, 2.15, 1.63, 10.86, fanet,
2008-01-26,0.87, 1.14, 4.65, 1.97, 1.53, 10.01, fanet,
2008-01-27,0.53, 2.19, 1.65, 2.04, 1.62, 10.44, fanet,
2008-01-28,3.15, 2.40, 1.32, 2.14, 1.67, 10.94, fanet,
2008-01-29,-0.49, 1.03, 4.32, 2.08, 1.64, 10.54, fanet,
2008-01-30,0.15, 0.52, 8.40, 1.98, 1.56, 10.41, fanet,
2008-01-31,0.15, 0.50, 7.73, 2.09, 1.66, 11, fanet,
2008-02-01,0.75, 1.20, 2.14, 2.23, 1.71, 11.54, fanet,
2008-02-02,1.06, 0.16, 0.09, 2.2, 1.68, 11.68, fanet,
2008-02-03,0.13, 1.35, 4.94, 2.44, 1.85, 12.14, fanet,
2008-02-04,-0.63, 0.34, 8.54, 2.11, 1.64, 11.09, fanet,
2008-02-05,-0.44, 0.58, 3.99, 2.06, 1.6, 10.47, fanet,
2008-02-06,2.25, 1.50, 3.73, 2.12, 1.73, 10.8, fanet,
2008-02-07,-0.04, 0.35, -1.99, 2.09, 1.67, 10.88, fanet,
2008-02-08,1.86, 1.25, 3.92, 2.02, 1.53, 10.64, fanet,
2008-02-09,0.74, 0.56, 6.25, 2.03, 1.59, 10.39, fanet,
2008-02-10,-0.09, 0.69, 5.35, 2.23, 1.69, 11.5, fanet,
2008-02-11,0.75, 1.08, 1.25, 2.14, 1.67, 11.15, fanet,
2008-02-12,2.82, 0.60, 5.76, 2.14, 1.74, 10.96, fanet,
2008-02-13,0.59, 0.40, 3.09, 2.1, 1.59, 10.55, fanet,
2008-02-14,0.56, 1.86, -1.24, 2.15, 1.68, 11.12, fanet,
2008-02-15,0.24, 1.61, 3.15, 2.24, 1.75, 11.55, fanet,
2008-02-16,-0.29, -0.66, 2.04, 2.09, 1.6, 10.68, fanet,
2008-02-17,2.06, 0.68, -0.92, 1.95, 1.51, 10.05, fanet,
2008-02-18,-0.72, 0.66, 1.88, 2.15, 1.59, 10.97, fanet,
2008-02-19,1.53, 2.26, 2.41, 2.06, 1.6, 10.3, fanet,
2008-02-20,2.36, 1.29, 6.36, 2.01, 1.59, 10.35, fanet,
2008-02-21,0.90, 0.99, 1.68, 2, 1.57, 10.33, fanet,
2008-02-22,2.13, 0.98, 2.78, 2, 1.52, 10.22, fanet,
2008-02-23,-0.06, 0.26, 6.30, 1.93, 1.48, 10.14, fanet,
2008-02-24,0.77, 0.72, 3.95, 2.02, 1.58, 10.43, fanet,
2008-02-25,0.30, 0.78, 1.61, 1.99, 1.5, 10.1, fanet,
2008-02-26,1.94, 1.10, -1.38, 1.98, 1.59, 10.39, fanet,
2008-02-27,1.86, 1.02, 4.64, 1.99, 1.53, 10.31, fanet,
2008-02-28,-0.51, 1.31, -5.80, 2.07, 1.62, 10.79, fanet,
2008-02-29,0.16, 1.77, -6.42, 2.22, 1.8, 12.02, fanet,
2008-03-01,0.24, 1.66, -5.31, 2.3, 1.79, 12.01, fanet,
2008-03-02,2.19, 2.21, 2.88, 2.07, 1.6, 10.95, fanet,
2008-03-03,1.59, 0.56, 4.89, 1.95, 1.5, 9.93, fanet,
2008-03-04,0.37, 1.26, 6.91, 2.03, 1.55, 10.04, fanet,
2008-03-05,2.81, 0.92, 2.53, 2.04, 1.6, 10.52, fanet,
2008-03-06,-0.79, 1.40, 3.54, 1.98, 1.51, 10.26, fanet,
2008-03-07,0.69, 0.60, 9.04, 1.94, 1.49, 9.87, fanet,
2008-03-08,0.71, 1.49, 5.24, 1.98, 1.49, 9.8, fanet,
2008-03-09,2.78, 1.31, 8.22, 2, 1.55, 10.45, fanet,
2008-03-10,0.93, 1.03, 12.32, 2.04, 1.58, 10.37, fanet,
2008-03-11,0.06, 0.06, 6.86, 2.13, 1.67, 10.93, fanet,
2008-03-12,1.98, 0.86, 12.86, 2.19, 1.66, 11.09, fanet,
2008-03-13,1.38, 0.59, 8.06, 2.16, 1.62, 10.61, fanet,
2008-03-14,2.30, 0.75, 4.40, 2.13, 1.62, 11.06, fanet,
2008-03-15,-1.21, 0.40, 5.97, 2.14, 1.62, 10.99, fanet,
2008-03-16,-0.39, 0.97, 3.00, 1.97, 1.54, 10.24, fanet,
2008-03-17,1.76, 1.30, 6.11, 2.06, 1.53, 10.62, fanet,
2008-03-18,1.34, 0.61, 12.58, 2.09, 1.54, 10.6, fanet,
2008-03-19,3.22, 0.63, 7.99, 2.02, 1.53, 10.49, fanet,
2008-03-20,1.17, 1.16, 5.39, 2.02, 1.55, 10.41, fanet,
2008-03-21,0.62, 1.20, 3.07, 1.96, 1.5, 10.22, fanet,
2008-03-22,0.95, 0.31, 2.92, 2.09, 1.59, 10.8, fanet,
2008-03-23,2.57, 0.59, 3.28, 2.02, 1.56, 10.26, fanet,
2008-03-24,1.59, 0.50, -10.22, 1.98, 1.5, 10.04, fanet,
2008-03-25,0.33, 0.22, -1.69, 2, 1.55, 10.1, fanet,
2008-03-26,-0.20, 1.12, -1.83, 2.51, 2.01, 12.93, fanet,
2008-03-27,3.11, 0.79, 5.03, 2.26, 1.77, 11.71, fanet,
2008-03-28,6.62, 4.05, -3.90, 2.42, 1.88, 11.82, fanet,
2008-03-29,-0.28, 0.37, -11.01, 2.16, 1.7, 11.13, fanet,
2008-03-30,1.36, 1.15, -5.87, 2.07, 1.62, 10.67, fanet,
2008-03-31,0.19, 0.90, -8.59, 1.99, 1.52, 10.03, fanet,
2008-04-01,4.35, 0.90, 0.32, 1.95, 1.49, 9.9, fanet,
2008-04-02,0.42, 1.25, 1.05, 2.01, 1.53, 10.28, fanet,
2008-04-03,-0.03, 0.08, 6.91, 2.02, 1.52, 10.23, fanet,
2008-04-04,0.33, 0.46, 4.79, 2.03, 1.57, 10.36, fanet,
2008-04-05,1.69, 1.49, -0.16, 2.1, 1.62, 10.76, fanet,
2008-04-06,0.78, 1.26, 2.93, 2.01, 1.55, 10.43, fanet,
2008-04-07,1.20, 0.66, 0.40, 1.99, 1.5, 10.12, fanet,
2008-04-08,1.92, 0.82, 6.30, 2.08, 1.57, 10.51, fanet,
2008-04-09,1.81, 1.06, -1.83, 1.97, 1.54, 10.17, fanet,
2008-04-10,2.07, 1.73, -6.65, 1.99, 1.51, 9.97, fanet,
2008-04-11,0.44, 1.64, -7.15, 2.04, 1.53, 10.4, fanet,
2008-04-12,0.80, 0.90, 2.59, 2.02, 1.53, 10.32, fanet,
2008-04-13,1.43, 1.37, 7.48, 1.95, 1.48, 10.05, fanet,
2008-04-14,0.96, 1.36, 10.28, 1.94, 1.47, 9.87, fanet,
2008-04-15,0.57, 1.68, 5.18, 2.02, 1.54, 10.27, fanet,
2008-04-16,0.76, 1.73, 0.00, 1.93, 1.49, 9.9, fanet,
2008-04-17,1.26, 2.28, 2.18, 1.93, 1.47, 9.85, fanet,
2008-04-18,1.79, 1.96, 1.13, 1.94, 1.47, 9.98, fanet,
2008-04-19,0.32, 0.33, 6.81, 1.94, 1.49, 10.01, fanet,
2008-04-20,-0.61, 0.34, 7.78, 1.96, 1.5, 9.93, fanet,
2008-04-21,1.67, 1.53, 4.04, 1.95, 1.48, 9.87, fanet,
2008-04-22,1.67, 0.81, 3.61, 1.96, 1.47, 9.91, fanet,
2008-04-23,0.53, 0.74, -0.87, 2.32, 1.71, 11.88, fanet,
2008-04-24,0.77, 1.04, -3.53, 2.09, 1.57, 10.68, fanet,
2008-04-25,1.10, 0.64, -5.63, 1.94, 1.48, 9.93, fanet,
2008-04-26,1.18, 1.14, -2.90, 2.11, 1.63, 11.11, fanet,
2008-04-27,1.71, 1.68, -9.91, 2.04, 1.56, 10.37, fanet,
2008-04-28,-0.23, 0.18, -5.98, 1.97, 1.49, 10.28, fanet,
2008-04-29,1.61, -0.17, -0.68, 2.01, 1.51, 10.3, fanet,
2008-04-30,4.08, 2.29, 7.49, 1.96, 1.48, 9.92, fanet,
2008-05-01,1.76, 0.56, 0.86, 1.95, 1.48, 10.02, fanet,
2008-05-02,1.66, 0.96, -1.82, 1.95, 1.5, 9.89, fanet,
2008-05-03,-0.08, 0.68, -4.80, 2.03, 1.54, 10.5, fanet,
2008-05-04,0.96, -0.60, -1.32, 2, 1.52, 10.37, fanet,
2008-05-05,-0.32, 0.01, -0.66, 1.98, 1.51, 10.15, fanet,
2008-05-06,2.96, 1.03, 1.84, 1.95, 1.47, 9.89, fanet,
2008-05-07,2.15, 0.19, -3.25, 1.91, 1.46, 9.77, fanet,
2008-05-08,1.81, 0.82, -0.93, 1.9, 1.47, 9.73, fanet,
2008-05-09,-0.28, -0.25, -0.30, 1.93, 1.48, 9.87, fanet,
2008-05-10,0.91, 1.26, -4.24, 1.94, 1.47, 10, fanet,
2008-05-11,0.53, 1.19, 2.96, 1.97, 1.47, 10.15, fanet,
2008-05-12,-0.51, 1.63, 8.50, 1.93, 1.45, 9.96, fanet,
2008-05-13,-0.06, 1.40, 6.80, 1.93, 1.47, 9.76, fanet,
2008-05-14,1.28, 1.13, 4.54, 2.04, 1.53, 10.81, fanet,
2008-05-15,2.32, 1.63, 12.01, 1.93, 1.47, 9.95, fanet,
2008-05-16,0.34, 0.86, 7.73, 1.97, 1.47, 10.01, fanet,
2008-05-17,-0.54, 0.64, 10.26, 1.98, 1.48, 10.24, fanet,
2008-05-18,-0.26, -0.43, 7.73, 1.94, 1.48, 9.89, fanet,
2008-05-19,-0.03, -0.15, 11.24, 1.94, 1.49, 10.09, fanet,
2008-05-20,-0.65, -0.22, 11.56, 1.95, 1.47, 10.12, fanet,
2008-05-21,-0.30, 0.70, 3.66, 2.04, 1.52, 10.56, fanet,
2008-05-22,-0.36, 0.19, 13.90, 1.98, 1.49, 10.2, fanet,
2008-05-23,0.45, 1.19, 5.97, 2.03, 1.51, 10.47, fanet,
2008-05-24,2.84, 1.50, 14.60, 1.94, 1.48, 10.12, fanet,
2008-05-25,1.60, 1.76, 4.56, 1.99, 1.52, 10.41, fanet,
2008-05-26,0.65, 1.81, 15.58, 2, 1.51, 10.49, fanet,
2008-05-27,-0.51, 0.01, 15.61, 2.05, 1.52, 10.63, fanet,
2008-05-28,-0.19, 1.12, 16.72, 2.05, 1.57, 10.48, fanet,
2008-05-29,0.74, 0.39, 14.75, 2.04, 1.57, 10.42, fanet,
2008-05-30,-0.23, 0.39, 18.16, 1.97, 1.5, 10.2, fanet,
2008-05-31,-0.46, 1.10, 17.59, 2.01, 1.52, 10.44, fanet,
2008-06-01,-0.08, 0.93, 12.85, 2.13, 1.58, 11.2, fanet,
2008-06-02,-0.27, 1.51, 9.89, 2.07, 1.53, 10.87, fanet,
2008-06-03,0.25, 1.15, 8.55, 2.08, 1.56, 10.81, fanet,
2008-06-04,-0.26, 1.18, 10.62, 1.94, 1.5, 10.13, fanet,
2008-06-05,-1.01, 0.38, 6.73, 1.91, 1.46, 9.75, fanet,
2008-06-06,-0.73, 0.72, -1.32, 2, 1.55, 10.32, fanet,
2008-06-07,-2.25, 0.92, 7.08, 2.12, 1.62, 10.86, fanet,
2008-06-08,-1.54, 0.46, 1.67, 2.05, 1.57, 10.49, fanet,
2008-06-09,-0.80, 0.62, 2.05, 2.13, 1.58, 11.05, fanet,
2008-06-10,0.34, 0.28, 8.23, 1.96, 1.49, 10.08, fanet,
2008-06-11,-0.07, 1.07, 6.49, 2.08, 1.53, 11.01, fanet,
2008-06-12,-0.81, 0.98, 3.04, 2.01, 1.5, 10.46, fanet,
2008-06-13,0.15, 1.44, 0.75, 2.01, 1.51, 10.51, fanet,
2008-06-14,0.07, 1.18, 8.20, 2.07, 1.58, 10.83, fanet,
2008-06-15,0.23, 0.41, 12.53, 2.06, 1.59, 10.72, fanet,
2008-06-16,1.01, 0.28, 10.67, 1.96, 1.49, 10.25, fanet,
2008-06-17,0.62, 0.19, 12.89, 2, 1.51, 10.47, fanet,
2008-06-18,-0.35, 0.06, 9.71, 2.01, 1.51, 10.46, fanet,
2008-06-19,-0.74, -0.08, 6.37, 1.97, 1.5, 10.24, fanet,
2008-06-20,1.23, -0.78, 17.19, 2.09, 1.55, 10.79, fanet,
2008-06-21,0.64, 0.10, 8.66, 1.94, 1.49, 9.93, fanet,
2008-06-22,1.53, 0.12, 4.17, 1.96, 1.51, 10.01, fanet,
2008-06-23,1.43, 1.32, 3.62, 1.98, 1.5, 10.13, fanet,
2008-06-24,0.97, 1.20, 6.00, 2.02, 1.52, 10.36, fanet,
2008-06-25,-0.18, 2.16, 5.61, 1.95, 1.51, 10.04, fanet,
2008-06-26,1.05, 0.64, 16.03, 1.96, 1.49, 10.11, fanet,
2008-06-27,3.66, 0.32, 13.08, 1.95, 1.49, 9.94, fanet,
2008-06-28,2.26, 0.77, 9.77, 1.95, 1.49, 9.83, fanet,
2008-06-29,1.01, 1.21, 13.09, 1.91, 1.44, 9.69, fanet,
2008-06-30,0.98, -0.04, 14.49, 1.89, 1.45, 9.67, fanet,
2008-07-01,0.07, 0.52, 14.24, 1.91, 1.46, 9.78, fanet,
2008-07-02,1.50, 1.29, 9.44, 1.89, 1.44, 9.64, fanet,
2008-07-03,0.75, 1.06, 7.94, 1.89, 1.45, 9.68, fanet,
2008-07-04,0.75, 1.25, 5.00, 1.96, 1.48, 9.91, fanet,
2008-07-05,0.31, 1.27, 7.46, 1.95, 1.46, 9.94, fanet,
2008-07-06,1.09, 1.83, 10.24, 1.93, 1.48, 9.84, fanet,
2008-07-07,1.43, 0.62, 22.21, 1.89, 1.45, 9.63, fanet,
2008-07-08,4.05, 2.78, 21.38, 1.95, 1.47, 9.94, fanet,
2008-07-09,1.03, 1.21, 11.90, 1.94, 1.48, 9.84, fanet,
2008-07-10,0.41, 1.38, 10.72, 1.94, 1.5, 9.84, fanet,
2008-07-11,0.61, 1.85, 14.23, 1.96, 1.51, 10.04, fanet,
2008-07-12,0.74, 1.59, 11.20, 2.06, 1.54, 10.52, fanet,
2008-07-13,1.01, 0.72, 11.24, 1.9, 1.46, 9.78, fanet,
2008-07-14,0.72, 1.62, 9.01, 1.93, 1.51, 9.93, fanet,
2008-07-15,0.68, 1.45, 11.58, 1.92, 1.46, 9.81, fanet,
2008-07-16,2.69, 2.85, 10.30, 1.94, 1.49, 9.97, fanet,
2008-07-17,1.89, 2.96, 4.33, 1.89, 1.46, 9.72, fanet,
2008-07-18,0.48, 0.84, 7.18, 1.99, 1.53, 10.09, fanet,
2008-07-19,-0.01, 1.14, 9.25, 1.99, 1.53, 10.02, fanet,
2008-07-20,-0.18, 1.50, 2.56, 1.93, 1.46, 9.86, fanet,
2008-07-21,-1.47, 1.97, 7.44, 1.98, 1.52, 9.95, fanet,
2008-07-22,0.09, 1.85, 8.51, 1.95, 1.49, 9.92, fanet,
2008-07-23,3.05, 3.29, 10.58, 1.97, 1.52, 9.94, fanet,
2008-07-24,0.26, 2.48, 17.50, 1.97, 1.52, 9.97, fanet,
2008-07-25,0.64, 2.10, 8.68, 2, 1.51, 10.24, fanet,
2008-07-26,0.57, 1.97, 9.03, 1.96, 1.48, 10.01, fanet,
2008-07-27,-0.31, 0.17, 5.82, 1.9, 1.45, 9.73, fanet,
2008-07-28,0.38, 0.62, 2.57, 1.98, 1.5, 9.92, fanet,
2008-07-29,0.47, 0.50, 6.59, 1.93, 1.48, 9.88, fanet,
2008-07-30,-1.02, 1.10, -0.69, 1.93, 1.49, 9.99, fanet,
2008-07-31,1.48, 1.59, 3.50, 1.94, 1.47, 9.83, fanet,
2008-08-01,0.13, 0.83, 8.25, 1.91, 1.45, 9.75, fanet,
2008-08-02,-0.28, 2.18, 8.45, 1.95, 1.47, 9.9, fanet,
2008-08-03,-0.09, 1.78, 14.93, 1.98, 1.5, 10.12, fanet,
2008-08-04,1.92, 0.68, 9.28, 1.93, 1.48, 9.8, fanet,
2008-08-05,1.03, 1.23, 4.09, 1.91, 1.46, 9.68, fanet,
2008-08-06,0.33, 0.76, 8.29, 1.94, 1.49, 9.83, fanet,
2008-08-07,4.59, 6.15, 13.19, 2.04, 1.5, 10.46, fanet,
2008-08-08,0.55, 0.54, 6.01, 2.03, 1.51, 10.4, fanet,
2008-08-09,2.52, 0.92, 9.07, 2.03, 1.54, 10.2, fanet,
2008-08-10,1.63, -0.24, 8.85, 2.02, 1.52, 10.11, fanet,
2008-08-11,3.01, 3.25, 14.91, 2.06, 1.54, 10.32, fanet,
2008-08-12,1.21, 1.87, 5.92, 2.05, 1.53, 10.08, fanet,
2008-08-13,1.52, 1.20, 5.80, 2.02, 1.55, 10.1, fanet,
2008-08-14,3.32, 0.60, 11.49, 1.96, 1.49, 9.81, fanet,
2008-08-15,3.14, 0.13, 11.01, 1.92, 1.47, 9.75, fanet,
2008-08-16,2.47, -0.76, 5.69, 1.93, 1.49, 9.92, fanet,
2008-08-17,2.79, 1.92, 22.46, 1.97, 1.48, 9.86, fanet,
2008-08-18,3.83, 1.09, 19.32, 1.98, 1.5, 10.07, fanet,
2008-08-19,1.51, 0.48, 16.10, 1.95, 1.48, 9.79, fanet,
2008-08-20,2.55, 0.97, 12.27, 1.93, 1.48, 9.81, fanet,
2008-08-21,2.17, -0.03, 13.01, 1.93, 1.49, 9.85, fanet,
2008-08-22,1.27, 1.22, 12.41, 1.95, 1.48, 9.84, fanet,
2008-08-23,1.71, 1.64, 15.14, 1.96, 1.48, 9.83, fanet,
2008-08-24,3.08, 1.51, 16.58, 1.99, 1.49, 10, fanet,
2008-08-25,2.94, 0.40, 16.09, 1.94, 1.48, 9.8, fanet,
2008-08-26,4.15, 1.64, 16.14, 1.95, 1.48, 9.77, fanet,
2008-08-27,3.21, 0.93, 13.50, 1.96, 1.48, 9.93, fanet,
2008-08-28,1.57, 1.07, 9.89, 2.02, 1.51, 10.19, fanet,
2008-08-29,2.83, 1.54, 15.95, 2, 1.5, 10.16, fanet,
2008-08-30,3.93, 0.04, 16.21, 1.98, 1.49, 10.24, fanet,
2008-08-31,4.34, 1.91, 12.05, 1.96, 1.48, 10.03, fanet,
2008-09-01,3.61, 0.41, 4.95, 1.95, 1.49, 9.97, fanet,
2008-09-02,1.56, 1.32, 16.17, 2.28, 1.69, 11.43, fanet,
2008-09-03,6.33, 2.91, 8.69, 2.14, 1.62, 10.78, fanet,
2008-09-04,3.48, 1.22, 23.37, 2.11, 1.59, 10.83, fanet,
2008-09-05,1.95, 1.87, 13.65, 2.03, 1.57, 10.28, fanet,
2008-09-06,0.23, 2.00, 12.61, 1.98, 1.51, 10.09, fanet,
2008-09-07,2.50, 1.90, 3.03, 2.05, 1.56, 10.54, fanet,
2008-09-08,1.42, 1.81, 9.85, 1.99, 1.5, 10.07, fanet,
2008-09-09,0.59, 1.00, 10.47, 2.05, 1.52, 10.42, fanet,
2008-09-10,1.61, 1.47, 13.17, 2.01, 1.52, 10.21, fanet,
2008-09-11,3.15, 2.55, 7.09, 1.97, 1.5, 10.09, fanet,
2008-09-12,0.31, 1.39, 7.24, 1.96, 1.48, 9.97, fanet,
2008-09-13,0.90, 1.43, 8.24, 2.04, 1.55, 10.48, fanet,
2008-09-14,0.38, 1.73, 10.17, 1.98, 1.5, 10.07, fanet,
2008-09-15,1.81, 1.57, 6.62, 2.02, 1.52, 10.44, fanet,
2008-09-16,0.88, 0.35, 11.24, 2.04, 1.55, 10.59, fanet,
2008-09-17,0.24, 1.13, 18.86, 2.13, 1.61, 10.77, fanet,
2008-09-18,0.68, 0.96, 13.13, 2, 1.55, 10.39, fanet,
2008-09-19,3.58, 1.89, 8.72, 1.96, 1.51, 9.96, fanet,
2008-09-20,2.42, -0.94, 12.63, 1.97, 1.48, 9.98, fanet,
2008-09-21,1.90, 0.87, 12.28, 1.96, 1.48, 10.06, fanet,
2008-09-22,-0.36, 1.85, 17.91, 2.01, 1.49, 9.96, fanet,
2008-09-23,1.11, 0.86, 13.59, 1.97, 1.48, 9.82, fanet,
2008-09-24,-0.10, 1.03, 16.54, 1.97, 1.51, 9.86, fanet,
2008-09-25,0.49, 1.78, 16.61, 2, 1.52, 10.21, fanet,
2008-09-26,1.21, 1.70, 11.32, 1.99, 1.5, 10, fanet,
2008-09-27,0.79, 1.58, 11.90, 2, 1.52, 10.01, fanet,
2008-09-28,0.31, 1.26, 12.07, 2.06, 1.52, 10.08, fanet,
2008-09-29,0.33, 2.13, 13.33, 2.03, 1.58, 10.17, fanet,
2008-09-30,1.89, 2.68, 9.09, 2.01, 1.51, 10.09, fanet,
2008-10-01,2.02, 1.68, 9.59, 2.04, 1.57, 10.34, fanet,
2008-10-02,-0.80, 2.31, 15.48, 2.13, 1.61, 10.51, fanet,
2008-10-03,0.51, 1.96, 9.32, 2.14, 1.63, 10.67, fanet,
2008-10-04,0.26, 1.56, 5.10, 2, 1.53, 10.06, fanet,
2008-10-05,0.26, 1.95, 8.30, 1.99, 1.5, 9.87, fanet,
2008-10-06,0.91, 1.20, 7.06, 2.03, 1.52, 10.32, fanet,
2008-10-07,-0.23, -0.06, 14.47, 2.05, 1.54, 10.24, fanet,
2008-10-08,1.89, 1.48, 17.15, 1.98, 1.51, 9.98, fanet,
2008-10-09,1.45, 1.10, 17.08, 1.93, 1.46, 9.78, fanet,
2008-10-10,1.53, 1.84, 17.91, 1.97, 1.5, 9.87, fanet,
2008-10-11,1.25, 2.90, 10.15, 2.13, 1.64, 10.72, fanet,
2008-10-12,-0.96, 3.04, 10.67, 2.12, 1.67, 10.45, fanet,
2008-10-13,0.86, 1.94, 13.55, 1.97, 1.51, 9.88, fanet,
2008-10-14,0.76, 1.86, 15.63, 2, 1.49, 10.01, fanet,
2008-10-15,0.97, 1.99, 14.48, 1.97, 1.52, 10.05, fanet,
2008-10-16,0.38, 1.93, 13.23, 1.95, 1.49, 9.94, fanet,
2008-10-17,0.70, 2.20, 7.74, 1.95, 1.48, 9.85, fanet,
2008-10-18,0.27, 1.55, 7.51, 1.96, 1.48, 9.85, fanet,
2008-10-19,0.51, 0.90, 12.49, 2.13, 1.64, 10.7, fanet,
2008-10-20,0.70, 1.36, 8.66, 2.01, 1.48, 10.02, fanet,
2008-10-21,1.41, 1.81, 7.90, 2, 1.52, 9.99, fanet,
2008-10-22,0.44, 1.84, 14.51, 2.11, 1.59, 10.68, fanet,
2008-10-23,0.13, 1.11, 13.96, 2, 1.5, 10.03, fanet,
2008-10-24,0.65, 1.30, 12.61, 2, 1.5, 10.22, fanet,
2008-10-25,0.28, 0.96, 14.99, 2.01, 1.52, 10.08, fanet,
2008-10-26,0.31, 1.57, 13.38, 1.97, 1.49, 9.89, fanet,
2008-10-27,0.05, 1.84, 17.34, 2.01, 1.55, 10.05, fanet,
2008-10-28,-0.44, 0.77, 17.87, 2.23, 1.71, 11.2, fanet,
2008-10-29,0.44, 1.13, 8.37, 2.11, 1.61, 10.62, fanet,
2008-10-30,1.10, 1.79, 7.74, 2.21, 1.68, 10.84, fanet,
2008-10-31,0.46, 1.35, 5.14, 2.18, 1.59, 10.68, fanet,
2008-11-01,1.71, 1.28, 1.87, 2.14, 1.65, 10.8, fanet,
2008-11-02,-0.87, 1.11, 8.29, 2.13, 1.66, 10.87, fanet,
2008-11-03,-0.70, 0.37, -3.16, 2.17, 1.66, 11.08, fanet,
2008-11-04,0.13, 0.09, -1.71, 1.93, 1.48, 9.78, fanet,
2008-11-05,0.78, 0.99, -5.28, 1.94, 1.47, 9.84, fanet,
2008-11-06,0.48, 1.82, 1.67, 1.95, 1.47, 9.85, fanet,
2008-11-07,1.06, 1.46, -3.79, 2.24, 1.69, 11.26, fanet,
2008-11-08,1.21, 0.81, 5.84, 2.16, 1.68, 11.14, fanet,
2008-11-09,2.53, -0.10, 8.89, 2.17, 1.63, 10.77, fanet,
2008-11-10,0.72, 1.57, 13.85, 1.93, 1.45, 9.69, fanet,
2008-11-11,1.80, 0.52, 19.71, 1.94, 1.46, 9.82, fanet,
